,NAME,About,Price,Delivery Time,Stock_Avaibility,Offers,No._of_Reviews,Rating,Product_URL
0,"HP 15s- Ryzen 5- 8GB RAM/512GB SSD 15.6 Inches FHD, Micro-Edge, Anti-Glare Display (Natural Silver/AMD Radeon Graphics/Alexa/Dual Speakers/Fast Charge/Windows 11/MS Office), 15s-eq2144au","About this item
Processor: AMD Ryzen 5 5500U (up to 4.0 GHz max boost clock(2i), 8 MB L3 cache, 6 cores, 12 threads)| Memory: 8 GB DDR4-3200 SDRAM (1 x 8 GB), Upto 16 GB DDR4-3200 MHz RAM (2 x 8 GB) | Storage: 512 GB PCIe NVMe M.2 SSD
Display & Graphics: 39.6 cm (15.6"") diagonal, FHD, micro-edge, anti-glare,Brightness: 250 nits, 141 ppi |Graphics: AMD Radeon Graphics
Operating System & Pre-installed Software: Windows 11 Home 64 Single Language| Microsoft Office Home & Student 2019 pre-installed
Ports & Battery: 1 SuperSpeed USB Type-C 5Gbps signaling rate,2 SuperSpeed USB Type-A 5Gbps signaling rate, 1 headphone/microphone combo,1 AC smart pin, 1 HDMI 1.4b|Battery: 3-cell, 41 Wh Li-ion, Support battery fast charge : approximately 50% in 45 minutes
Features: Keyboard: Full-size island-style natural silver keyboard with numeric keypad,HP Imagepad with multi-touch gesture support,Precision Touchpad Support| Camera: HP True Vision 720p HD camera | Microphone: Integrated Dual array digital microphones| Audio: Dual Speakers| Alexa Built In | Networking: Realtek RTL8821CE 802.11b/g/n/ac (1x1) and Bluetooth 4.2 combo
Processor: AMD Ryzen 5 5500U (up to 4.0 GHz max boost clock(2i), 8 MB L3 cache, 6 cores, 12 threads)| Memory: 8 GB DDR4-3200 SDRAM (1 x 8 GB), Upto 16 GB DDR4-3200 MHz RAM (2 x 8 GB) | Storage: 512 GB PCIe NVMe M.2 SSD
Display & Graphics: 39.6 cm (15.6"") diagonal, FHD, micro-edge, anti-glare,Brightness: 250 nits, 141 ppi |Graphics: AMD Radeon Graphics
Show More","₹47,490.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 54 mins Details",In stock.,"EMI starts at ₹2,236. No Cost EMI available EMI options",455 ratings,4.3 out of 5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A038982056FTTPR7VJ84&url=%2FHP-Micro-Edge-Anti-Glare-Graphics-15s-eq2144au%2Fdp%2FB09RZRF1PJ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-1-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_atf
1,"HP 14s 11th Gen Intel Core i3- 8GB RAM/256GB SSD 14 inch(35.6cm) FHD,Micro-Edge,Anti-Glare,IPS Display/UHD Graphics/ Win 11/ MS Office/ Alexa Built-in/ 1.46kg/ Natural Silver - 14s-dy2506TU","About this item
Processor: Intel Core i3-1125G4 (up to 3.7 GHz with Intel Turbo Boost Technology, 8 MB L3 cache, 4 cores, 8 threads)
Memory: 8 GB DDR4-2666 MHz RAM (1 x 8 GB), Upto 16 GB DDR4-2666 MHz RAM (2 x 8 GB)| Storage:256 GB PCIe NVMe M.2 SSD
Display: 35.6 cm (14'') diagonal, FHD(1920x1080), IPS, micro-edge, 250 nits, 45% NTSC
Operating System & Preinstalled Software: Windows 11 Home 64 Single Language | Microsoft Office Home & Student 2019| McAfee LiveSafe (30 days free trial as default) | Audio : Dual speakers
Graphics & Networking: Intel UHD Graphics|Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo
› See more product details","₹35,990.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 53 mins Details",In stock.,"EMI starts at ₹1,694. No Cost EMI available EMI options","1,926 ratings",4.2 out of 5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0447151V9B07ZBYFE2A&url=%2FHP-Micro-Edge-Anti-Glare-Display-Graphics%2Fdp%2FB09MH9M5CV%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-2-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_atf
2,"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","About this item
Processor: Intel Celeron N4020, 1.1 GHz base speed, Up to 2.8 GHz Turbo Speed, 2 cores, 2 Threads, 4MB Cache
Memory & Storage: 4GB SO-DIMM DDR4 2400MHz RAM, Support up to 8GB using 1x SO-DIMM Slot with | Storage: 256GB M.2 NVMe PCIe SSD
Graphics: Integrated Intel HD Graphics
Display: 15.6-inch (39.62 cms), LED-Backlit LCD, HD (1366 x 768) 16:9, 220nits, NanoEdge bezel, Anti-Glare Plane with 45% NTSC, 82% Screen-To-Body Ratio
Operating System: Pre-loaded Windows 11 Home with lifetime validity
Design & battery: Up to 19.9mm Thin | NanoEdge Bezels | Thin and Light Laptop | Laptop weight: 1.8 kg | 37WHrs, 2-cell Li-ion battery | Up to 6 hours battery life ;Note: Battery life depends on conditions of usage
Keyboard: Chiclet Keyboard with 1.4mm Key Travel
Show More","₹26,990.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 53 mins Details",In stock.,"EMI starts at ₹1,271. No Cost EMI available EMI options","1,178 ratings",4.1 out of 5,https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_3?keywords=Laptop&qid=1651655445&sr=8-3
3,"Lenovo IdeaPad 3 Intel Celeron N4020 14'' HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/MS Office 2021/Platinum Grey/1.5Kg), 81WH007KIN","About this item
Processor: Intel Celeron N4020 | Speed: 1.1 GHz (Base) - 2.8 GHz (Max) | 2 Cores | 4MB Cache
OS: Pre-Loaded Windows 11 Home with Lifetime Validity
Pre-Installed: MS Office Home and Student 2021
Memory and Storage: 4GB RAM DDR4 | 256GB SSD
Display: 14"" HD (1366x768) | Brightness : 220nits | Anti-Glare
Design: 1.99 cm Thin and 1.5 kg Light | Narrow Bezel
Battery Life: 35Wh | Upto 10 Hours battery life
Show More","₹28,000.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 53 mins Details",In stock.,"EMI starts at ₹1,318. No Cost EMI available EMI options",571 ratings,4 out of 5,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_4?keywords=Laptop&qid=1651655445&sr=8-4
4,"HP 247 G8 Laptop (Athlon P-3045B HD/ 14"" HD (35.56 cms) /8GB RAM DDR4 /1TB HDD / W11 SL)One Year Warranty, Black, 67U77PA)","About this item
Processo: Athlon P-3045B HD (2.3 GHz base frequency, up to 3.2 GHz burst frequency)
Memory: 8 GB DDR4-2400 RAM (1 x 8 GB)| Storage: 1 TB 5400 rpm SATA HDD
Display: 35.56 cm (14 in) diagonal, HD (1366 x 768), SVA , Anti-Glare WLED, 250 nits, eDP micro-edge, 45% NTSC
Operating System & Software: Pre-loaded Windows 11 Home with lifetime validity
Ports:(2) USB-A 3.2 Gen 1 (1) USB Type-C 3.2 Gen 1 (data transfer only) (1) HDMI 1.4b (cable sold separately) (1) RJ-45 (1) AC power port (1) Headphone/microphone combo jack
› See more product details","₹29,390.00","FREE delivery: Sunday, May 8 Details
Fastest delivery: Saturday, May 7
Order within 23 hrs and 3 mins Details",In stock.,"EMI starts at ₹1,383. No Cost EMI available EMI options",32 ratings,3.9 out of 5,https://www.amazon.in/HP-247-G8-Warranty-67U77PA/dp/B09RMP6MM7/ref=sr_1_5?keywords=Laptop&qid=1651655445&sr=8-5
5,"Lenovo IdeaPad Slim 5i 11th Gen Intel Core i5 15.6"" FHD IPS Thin, Light Laptop (8GB/1TB HDD+256GB SSD/Windows10/Office19/MX450 2GB GDDR6/Fingerprint/Graphite Grey/Aluminium Surface/1.66Kg) 82FG00BPIN","About this item
Camera (Built in): HD 720p (1.0MP) Camera | Fixed Focus | Privacy Shutter | Integrated Dual Array Microphone
Design: 1.79 cm Thin and 1.66 kg Light | Aluminium Material Top | Backlit Keyboard | Fingerprint Reader
Graphics: NVIDIA GeForce MX450 2GB GDDR6 Dedicated Graphics
Processor: 11th Gen Intel Tiger Lake Core i5-1135G7 | Speed: 2.4 GHz (Base) - 4.2 GHz (Max) | 4 Cores | 8MB Cache
Battery Life: 8 Hours | Rapid Charge (Up to 80% in 1 Hour)
› See more product details","₹70,498.00","FREE delivery: Monday, May 9 Details",Only 1 left in stock.,"EMI starts at ₹3,319. No Cost EMI available EMI options",165 ratings,4 out of 5,https://www.amazon.in/Lenovo-Windows10-Fingerprint-Aluminium-82FG00BPIN/dp/B08P3LVRL8/ref=sxin_14?asc_contentid=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&creativeASIN=B08P3LVRL8&cv_ct_cx=Laptop&cv_ct_id=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=Laptop&linkCode=oas&pd_rd_i=B08P3LVRL8&pd_rd_r=2adc5412-afbb-44bd-80e9-ea7a98fa20f4&pd_rd_w=RdIYg&pd_rd_wg=ljReq&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=1YANAXSJK6E27DY76706&qid=1651655445&sr=1-1-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=timessyndicat-21
6,"HP OMEN 10th Gen Intel Core i5 Processor 15.6"" (39.62cms) FHD Gaming Laptop (i5-10300H/8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black/2.36 kg), 15-ek0015TX","About this item
Display: 15.6-inch FHD, IPS, anti-glare, micro-edge, WLED-backlit, 250 nits, 45% NTSC (1920 x 1080) | 60 Hz
Operating System: Windows 10 Home | In the box: Laptop with included battery, charger
Graphics: NVIDIA GeForce GTX 1650 (4 GB GDDR6 dedicated)
Ports: 1 SuperSpeed USB Type-C (5Gbps) (DisplayPort 1.4, HP Sleep and Charge), 1 SuperSpeed USB Type-A (5Gbps) (HP Sleep and Charge), 2 SuperSpeed USB Type-A (5Gbps), 1 Mini DisplayPort, 1 HDMI 2.0a, 1 RJ-45, 1 SD media card reader
› See more product details",--,"FREE delivery: Friday, May 13 Details",Usually dispatched in 4 to 5 days.,"EMI starts at ₹3,954. No Cost EMI available EMI options",87 ratings,4.3 out of 5,https://www.amazon.in/HP-Processor-15-6-inch-i5-10300H-15-ek0015TX/dp/B08CGLDF1S/ref=sxin_14?asc_contentid=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&creativeASIN=B08CGLDF1S&cv_ct_cx=Laptop&cv_ct_id=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=Laptop&linkCode=oas&pd_rd_i=B08CGLDF1S&pd_rd_r=2adc5412-afbb-44bd-80e9-ea7a98fa20f4&pd_rd_w=RdIYg&pd_rd_wg=ljReq&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=1YANAXSJK6E27DY76706&qid=1651655445&sr=1-2-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=timessyndicat-21
7,"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.63cm) FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB/60Hz Refresh Display/Onyx Black/2.2Kg), 82EY00L9IN","About this item
Processor: 4th Gen AMD Ryzen 5 4600H | Speed: 3.0 GHz (Base) - 4.0 GHz (Max) | 6 Cores | 3MB L2 & 8MB L3 Cache
OS: Pre-Loaded Windows 10 Home with Lifetime Validity
Memory and Storage: 8GB RAM DDR4-3200, Upgradable up to 16GB | 512 GB SSD
Graphics: NVIDIA GeForce GTX 1650 4GB GDDR6 Dedicated Graphics
Display: 15.6"" Full HD (1920x1080) | Brightness: 250 nits | Anti-Glare | IPS Technology | 60 Hz Refresh Rate
Cooling: 5th Generation Thermal Engineering | Dual fan and vent system | Enhanced dedicated heat syncs | Q Control
Battery Life: 5 Hours | 45Wh Battery | Rapid Charge (Up to 80% in 1 Hour)
Show More",--,FREE delivery: May 6 - 9 Details,In stock.,"EMI starts at ₹3,248. No Cost EMI available EMI options",201 ratings,4.4 out of 5,https://www.amazon.in/Lenovo-IdeaPad-39-62cms-Graphics-82EY00L9IN/dp/B08SK27PKH/ref=sxin_14?asc_contentid=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&creativeASIN=B08SK27PKH&cv_ct_cx=Laptop&cv_ct_id=amzn1.osa.bdcb726a-fa62-4ed1-ac29-682d42e04808.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=Laptop&linkCode=oas&pd_rd_i=B08SK27PKH&pd_rd_r=2adc5412-afbb-44bd-80e9-ea7a98fa20f4&pd_rd_w=RdIYg&pd_rd_wg=ljReq&pf_rd_p=f50b8836-bf86-46c0-a999-ee1dda2b7d1f&pf_rd_r=1YANAXSJK6E27DY76706&qid=1651655445&sr=1-3-61f4c597-7a45-4a97-bd75-c52903f8ee93&tag=timessyndicat-21
8,"HP 14s 11th Gen Intel Core i3- 8GB RAM/256GB SSD 14 inch(35.6cm) FHD,Micro-Edge,Anti-Glare,IPS Display/UHD Graphics/ Win 11/ MS Office/ Alexa Built-in/ 1.46kg/ Natural Silver - 14s-dy2506TU","About this item
Processor: Intel Core i3-1125G4 (up to 3.7 GHz with Intel Turbo Boost Technology, 8 MB L3 cache, 4 cores, 8 threads)
Memory: 8 GB DDR4-2666 MHz RAM (1 x 8 GB), Upto 16 GB DDR4-2666 MHz RAM (2 x 8 GB)| Storage:256 GB PCIe NVMe M.2 SSD
Display: 35.6 cm (14'') diagonal, FHD(1920x1080), IPS, micro-edge, 250 nits, 45% NTSC
Operating System & Preinstalled Software: Windows 11 Home 64 Single Language | Microsoft Office Home & Student 2019| McAfee LiveSafe (30 days free trial as default) | Audio : Dual speakers
Graphics & Networking: Intel UHD Graphics|Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo
› See more product details","₹35,990.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 52 mins Details",In stock.,"EMI starts at ₹1,694. No Cost EMI available EMI options","1,926 ratings",4.2 out of 5,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-Display-Graphics/dp/B09MH9M5CV/ref=sr_1_6?keywords=Laptop&qid=1651655445&sr=8-6
9,"Lenovo ThinkBook 14 Intel Core i5 11th Gen 14"" (35.56cm) FHD IPS Thin & Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office 2021/FPR/Intel Iris Xe Graphics Mineral Grey/1.4 kg), 20VDA0TLIH","About this item
ThinkBook 14 Reliability tested on 12 MIL-STD-810H Methods and 22 Procedures | Body Material: Aluminium | Surface Treatment: Anodizing sandblasting | Built to withstand rugged usage and can handle accidental knocks, drops, and even spills
Processor: 11th Gen Intel Core i5-1135G7, 2.4 Ghz base clock, 4.2 Ghz max boost clock, 4 Cores, 8 MB Cache | Memory: 16GB (8GB soldered + 8GB SO-DIMM) RAM DDR4-3200 MHz upgradable upto 40 GB | Storage: 512GB SSD M.2
Operating System: Preloaded Windows 11 Home with Lifetime Validity | Pre-installed software: Microsoft Office Home & Student 2021
Display: 14-inch (35.56 cm) screen with (1920X1080) Full HD IPS 250 nits Antiglare display | Graphics: Integrated Intel Iris Xe Graphics comes with DirectX 12 enables amazing graphics | Monitor Support: Supports up to 4 independent displays
Ports: 2x USB 3.2 Gen 1 (1x Always On), 1x USB-C 3.2 Gen 2 (support data transfer, PD 3.0 and DP 1.4), 1x Thunderbolt 4 / USB4 40Gbps (support data transfer, PD 3.0 and DP 1.4), 1x HDMI 1.4b, 1x Card reader, 1x Ethernet (RJ-45), 1x Headphone / microphone combo jack (3.5mm)
Camera: 720p, with ThinkShutter | Microphone: Dual array microphone with AI-based noise cancellation, switchable audio modes| Keyboard: 6-row, spill-resistant, Backlit | Touchpad: Buttonless Mylar surface multi-touch touchpad, supports Precision TouchPad
Connectivity: Wi-Fi 6, 802.11ax 2x2 Wi-Fi + Bluetooth 5.1 | Touch style fingerprint reader on smart power button | Physical Locks: Kensington Nano Security Slot | Laptop Design: Dual tone, 180 Degree Hinge | Weight: 1.4 kg
Show More","₹59,990.00","FREE delivery: Saturday, May 7 Details
Fastest delivery: Friday, May 6
Order within 9 hrs and 16 mins Details",In stock.,"EMI starts at ₹2,824. No Cost EMI available EMI options",5 ratings,4.7 out of 5,https://www.amazon.in/Lenovo-ThinkBook-35-56cm-Graphics-20VDA0TLIH/dp/B09V4JXLJ7/ref=sr_1_7?keywords=Laptop&qid=1651655445&sr=8-7
10,"Lenovo IdeaPad Slim 3 11th Gen Intel Core i3 14"" (35.56cm) FHD IPS Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/Fingerprint/2 Year Warranty/3 Month Game Pass/Arctic Grey/1.41Kg), 82H701DKIN","About this item
Processor: 11th Gen Intel Core i3-1115G4 | Speed: 3.0 GHz (Base) - 4.1 GHz (Max) | 2 Cores | 6 MB Cache
Display: 14"" FHD (1920x1080)| IPS Technology | 300Nits Brightness Anti Glare 45% NTSC
Memory and Storage: 8GB RAM DDR4-3200 | 512 GB SSD
Windows 11 Home 64, English
Pre-Installed: MS Office Home and Student 2021
› See more product details","₹40,990.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 51 mins Details",In stock.,"EMI starts at ₹1,930. No Cost EMI available EMI options",8 ratings,4.1 out of 5,https://www.amazon.in/Lenovo-IdeaPad-Fingerprint-Warranty-82H701DKIN/dp/B09YVGT6G6/ref=sr_1_8?keywords=Laptop&qid=1651655445&sr=8-8
11,"Acer Aspire 3 AMD Ryzen 3 3250U Processor 15.6"" (39.6 cms) Full HD Laptop - (8 GB/512 GB SSD/Windows 11 Home/AMD Radeon Graphics /1.9Kg/Silver) A315-23","About this item
Powerful and portable laptops for schools and colleges : Aspire 3 laptop delivers on every aspect of everyday computing. Featuring the new AMD Ryzen 3 3250U dual-core processor, the Aspire 3 A315-23 opens more possibilities than ever before—via performance, connectivity and entertainment.
Perfect laptop for every need : Aspire 3 packs a beautiful 15.6"" Full HD screen, solid performance and the Dual-Band WiFi into an attractive design that's easy to place in a backpack and carry everywhere you go
Ease of Storage : 8 GB RAM Laptop with 512GB PCIe NVMe SSD helps easily store and share important projects and data
Enhanced Video Conferencing and Good Battery Life : The Aspire 3 will help improve your all-round video conferencing experience. It maintains a strong, consistent wireless signal with the strategically placed Wi-Fi 5 (802.11ac) wireless antenna and MU-MIMO. It also offers battery life upto 8 hours.
Additional Features : The Laptop comes with Windows 10 Home and 1 year International Travellers Warranty.
Ports : IEEE 802.11ac, 1xGigabit Ethernet, Bluetooth 4.1, 1 xUSB2.0 port, 2 xUSB 3.2 Gen 1 ports , 1xHDMI, 1xheadphone/speaker jack; standard non-backlit keyboard. 2x Stereo speakers. 1xNetwork (RJ-45)
› See more product details","₹34,990.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 51 mins Details",In stock.,"EMI starts at ₹1,647. No Cost EMI available EMI options",74 ratings,4.1 out of 5,https://www.amazon.in/Acer-Aspire-Ryzen-Processor-Laptop/dp/B09S3RRTPH/ref=sr_1_9?keywords=Laptop&qid=1651655445&sr=8-9
12,--,--,--,--,--,--,--,--,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_10?keywords=Laptop&qid=1651655445&sr=8-10
13,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02156791DAHTYFVGL5NS&url=%2FASUS-VivoBook-i5-1035G1-Integrated-X415JA-EB501WS%2Fdp%2FB09RQL25ZB%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-11-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_mtf
14,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A021589130WMANDNY8XMW&url=%2FASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV301W%2Fdp%2FB09RQM1HHN%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-12-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_mtf
15,--,--,--,--,--,--,--,--,https://www.amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H801L7IN/dp/B09NP4KXMS/ref=sr_1_13?keywords=Laptop&qid=1651655445&sr=8-13
16,--,--,--,--,--,--,--,--,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-Graphics-15s-du3517TU/dp/B09PBTLW9F/ref=sr_1_14?keywords=Laptop&qid=1651655445&sr=8-14
17,--,--,--,--,--,--,--,--,https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-NobelBR-WAI9B/dp/B09VPS41Z8/ref=sr_1_15?keywords=Laptop&qid=1651655445&sr=8-15
18,--,--,--,--,--,--,--,--,https://www.amazon.in/ASUS-VivoBook-i3-1115G4-Integrated-X415EA-EK372WS/dp/B09S6S6FFL/ref=sr_1_16?keywords=Laptop&qid=1651655445&sr=8-16
19,--,--,--,--,--,--,--,--,https://www.amazon.in/Notebook-resolution-i5-11300H-15-6-inch-Fingerprint/dp/B098XK9BPC/ref=sr_1_17?keywords=Laptop&qid=1651655445&sr=8-17
20,--,--,--,--,--,--,--,--,https://www.amazon.in/ASUS-VivoBook-i7-1065G7-Integrated-X415JA-EK701WS/dp/B09LJ4VLHH/ref=sr_1_18?keywords=Laptop&qid=1651655445&sr=8-18
21,--,--,--,--,--,--,--,--,https://www.amazon.in/Microsoft-i5-1035G1-Touchscreen-Graphics-THH-00023/dp/B08SX5XVBK/ref=sr_1_19?keywords=Laptop&qid=1651655445&sr=8-19
22,--,--,--,--,--,--,--,--,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB01E9IN/dp/B09Q57SYQF/ref=sr_1_20?keywords=Laptop&qid=1651655445&sr=8-20
23,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A028702117CRB4FV0UCAG&url=%2FASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W%2Fdp%2FB09SGGB687%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-21-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_btf
24,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02154913SVNNI7X72B8V&url=%2FASUS-VivoBook-i3-10110U-39-62cms-X515FA-EJ311TS%2Fdp%2FB09N9P9TWG%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-22-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_btf
